forest,latitude,longitude
1,67.357,50.5
1,61.964,143.3
1,52.429,27.3
1,61.964,29.8
1,51.929,118.55
1,42.393,143.05
1,67.607,93.5
1,57.571,66.75
1,47.286,119.5
1,67.357,146.75
1,67.357,35.0
1,37.5,30.75
1,41.393,129.8
1,57.321,70.0
1,66.857,126.5
1,57.571,97.75
1,56.571,126.25
1,57.321,136.25
1,62.464,174.3
1,48.036,23.75
1,43.893,143.05
1,41.143,120.55
1,62.464,37.8
1,51.679,101.55
1,67.357,60.25
1,57.571,41.0
1,43.393,133.55
1,47.536,100.75
1,66.857,69.0
1,57.321,158.25
1,57.571,132.75
1,61.964,139.55
1,62.464,90.55
1,53.429,110.55
1,57.821,29.5
1,41.393,75.55
1,62.464,161.8
1,61.714,56.3
1,52.929,111.3
1,47.786,107.0
1,43.143,140.8
1,67.357,24.25
1,61.964,102.55
1,57.571,162.25
1,62.464,128.3
1,44.643,18.05
1,53.429,119.55
1,57.821,105.5
1,67.357,165.25
1,67.357,115.75
1,44.393,133.05
1,42.393,45.3
1,41.393,117.05
1,42.143,126.3
1,66.857,49.75
1,52.429,129.8
1,61.714,137.05
1,44.393,19.8
1,51.929,23.3
1,53.429,132.3
1,41.893,140.55
1,61.714,168.05
1,61.714,65.55
1,51.679,87.05
1,36.0,114.75
1,52.929,108.3
1,52.179,140.8
1,52.429,127.8
1,51.929,114.3
1,52.679,41.55
1,37.0,140.75
1,46.536,25.5
1,56.571,78.75
1,45.143,128.55
1,67.107,170.25
1,51.429,107.55
1,51.679,126.55
1,62.464,174.05
1,66.857,168.75
1,37.5,35.0
1,67.607,59.25
1,56.571,136.5
1,51.429,98.05
1,67.107,123.75
1,66.857,27.25
1,66.857,114.0
1,61.714,120.8
1,53.679,22.05
1,52.679,132.8
1,38.25,128.5
1,52.679,126.55
1,41.393,41.55
1,61.714,122.55
1,62.464,39.55
1,43.143,133.8
1,57.321,106.5
1,37.25,44.75
1,41.643,127.05
1,66.857,58.5
1,62.214,64.05
1,51.429,86.8
1,56.571,57.25
1,62.464,145.05
1,61.714,97.55
1,47.036,136.75
1,57.321,16.25
1,53.179,111.8
1,44.893,22.55
1,53.179,130.55
1,61.964,126.55
1,52.179,124.8
1,36.0,102.75
1,56.821,91.0
1,67.357,64.25
1,51.929,117.05
1,52.929,130.55
1,45.143,120.05
1,61.964,78.55
1,67.357,143.25
1,53.179,139.3
1,66.857,94.0
1,53.679,31.55
1,36.5,128.25
1,57.321,81.0
1,41.393,47.05
1,41.893,127.8
1,47.786,121.5
1,57.321,31.75
1,67.607,87.0
1,47.286,134.25
1,45.143,79.8
1,52.179,134.8
1,53.429,120.3
1,67.357,105.75
1,51.429,104.8
1,51.929,47.55
1,44.643,79.3
1,57.571,40.25
1,46.786,142.75
1,52.429,32.05
1,57.821,73.75
1,67.357,140.0
1,61.964,161.55
1,67.607,15.75
1,57.571,24.75
1,67.107,168.25
1,53.179,101.8
1,67.357,86.75
1,57.821,33.0
1,62.214,51.05
1,61.714,111.05
1,66.857,77.5
1,57.321,51.0
1,43.143,18.55
1,62.214,90.8
1,51.429,27.05
1,67.107,105.75
1,51.429,91.3
1,52.179,121.55
1,57.571,132.5
1,42.143,129.05
1,47.786,130.0
1,53.179,119.3
1,57.571,44.0
1,62.464,162.05
1,61.714,43.55
1,67.357,146.0
1,57.821,108.75
1,52.429,108.3
1,52.929,45.55
1,61.714,74.3
1,47.536,81.25
1,43.143,79.05
1,38.0,16.0
1,67.357,31.25
1,62.464,176.55
1,44.893,29.55
1,67.107,45.25
1,67.357,40.0
1,53.429,124.3
1,42.893,142.8
1,57.071,121.5
1,67.607,87.5
1,46.786,136.25
1,61.964,151.55
1,51.429,106.05
1,41.643,24.05
1,67.107,27.5
1,44.143,19.3
1,56.571,56.25
1,61.964,125.3
1,47.786,26.5
1,67.357,90.5
1,41.393,44.05
1,36.5,140.25
1,51.429,83.8
1,41.393,48.3
1,47.036,90.0
1,66.857,168.25
1,53.429,136.8
1,67.357,39.5
1,61.714,154.3
1,66.857,128.5
1,53.179,106.8
1,62.214,62.55
1,61.964,91.55
1,53.179,102.05
1,57.321,161.25
1,57.821,62.75
1,52.929,118.3
1,46.786,120.5
1,66.857,83.75
1,43.893,142.8
1,62.214,57.55
1,62.214,152.8
1,52.679,88.55
1,67.107,117.25
1,61.964,105.55
1,36.75,138.5
1,57.321,81.75
1,57.571,96.25
1,66.857,131.75
1,51.429,79.8
1,57.571,159.25
1,61.964,54.8
1,42.893,143.8
1,67.357,117.75
1,57.821,72.25
1,67.607,71.75
1,61.714,59.8
1,52.929,89.8
1,62.214,25.3
1,41.143,128.8
1,52.929,136.05
1,61.714,38.3
1,66.857,89.0
1,53.429,89.8
1,41.643,24.3
1,52.179,127.55
1,41.893,33.8
1,62.214,45.3
1,67.357,27.75
1,41.393,129.3
1,61.964,151.05
1,62.214,121.8
1,46.536,137.0
1,61.964,68.8
1,57.071,126.5
1,67.357,44.5
1,52.929,95.55
1,51.429,133.05
1,53.179,21.3
1,57.571,113.0
1,56.821,79.5
1,44.143,131.05
1,62.464,116.3
1,57.821,47.5
1,51.429,130.3
1,37.5,128.5
1,46.536,134.0
1,52.429,136.05
1,66.857,28.25
1,61.714,99.3
1,44.893,129.55
1,67.607,37.5
1,53.179,156.55
1,67.107,77.0
1,56.821,78.25
1,62.464,29.55
1,62.214,98.3
1,47.536,101.5
1,43.143,41.3
1,57.571,134.25
1,41.893,34.05
1,51.679,116.3
1,67.107,20.25
1,67.357,112.5
1,67.357,102.25
1,44.643,128.55
1,57.321,80.0
1,53.179,96.05
1,44.143,143.05
1,67.357,20.25
1,62.214,32.05
1,62.214,39.55
1,52.929,118.55
1,41.893,20.8
1,43.393,82.3
1,52.179,110.8
1,56.571,105.5
1,43.393,128.8
1,67.607,63.75
1,62.464,64.55
1,67.357,98.0
1,62.214,38.55
1,66.857,67.0
1,43.393,43.55
1,52.429,133.3
1,42.143,74.8
1,43.893,128.05
1,57.821,32.75
1,47.536,135.5
1,41.393,128.8
1,46.536,81.25
1,67.357,33.75
1,62.214,33.55
1,57.571,86.0
1,53.179,127.05
1,51.429,143.05
1,62.714,15.3
1,61.964,132.05
1,52.929,157.8
1,38.5,128.25
1,52.929,108.55
1,61.964,44.55
1,57.571,128.75
1,41.393,120.8
1,57.571,34.25
1,44.893,79.55
1,44.393,18.05
1,61.714,96.05
1,44.393,38.8
1,41.393,129.55
1,62.214,109.05
1,56.571,105.25
1,37.5,22.25
1,44.643,129.8
1,57.321,32.0
1,66.857,84.25
1,46.786,50.5
1,51.679,109.05
1,51.929,115.05
1,57.571,120.75
1,41.643,42.05
1,52.179,105.3
1,62.214,89.8
1,67.107,143.25
1,66.857,35.0
1,52.679,27.05
1,37.5,28.0
1,46.786,129.0
1,67.107,106.25
1,51.929,91.8
1,52.929,87.55
1,67.107,158.75
